"Name"|"Status"|"Year"|"Place"|"Type"|"Mass"|"(Lat,Long)"
"Northwest Africa 7871 **"|"Official"|"2004"|"(Northwest Africa)"|"L6"|"450 g"|" "
"Northwest Africa 7872 **"|"Official"|"2004"|"(Northwest Africa)"|"L3"|"22.5 g"|" "
"Northwest Africa 7873 **"|"Official"|"2009"|"(Northwest Africa)"|"H5-6"|"446 g"|" "
"Northwest Africa 7874 **"|"Official"|"2013"|"Morocco"|"Eucrite"|"873 g"|" "
"Northwest Africa 7875 **"|"Official"|"2013"|"Morocco"|"H7"|"476 g"|" "
"Northwest Africa 7876 **"|"Official"|"2012"|"(Northwest Africa)"|"L3.1"|"240 g"|" "
"Northwest Africa 7877 **"|"Official"|"2012"|"(Northwest Africa)"|"Eucrite-pmict"|"104 g"|" "
"Northwest Africa 7878 **"|"Official"|"2012"|"(Northwest Africa)"|"L4"|"249 g"|" "
"Northwest Africa 7879 **"|"Official"|"2012"|"(Northwest Africa)"|"CV3"|"58 g"|" "
"Northwest Africa 7880 **"|"Official"|"2012"|"(Northwest Africa)"|"Ureilite"|"199 g"|" "
"Northwest Africa 7881 **"|"Official"|"2012"|"(Northwest Africa)"|"Eucrite"|"357 g"|" "
"Northwest Africa 7882 **"|"Official"|"2013"|"(Northwest Africa)"|"Ureilite"|"35 g"|" "
"Northwest Africa 7883 **"|"Official"|"2013"|"(Northwest Africa)"|"CO3"|"25 g"|" "
"Northwest Africa 7884 **"|"Official"|"2013"|"(Northwest Africa)"|"CK6"|"45 g"|" "
"Northwest Africa 7885 **"|"Official"|"2013"|"(Northwest Africa)"|"L6"|"83 g"|" "
"Northwest Africa 7886 **"|"Official"|"2013"|"(Northwest Africa)"|"L6"|"252 g"|" "
"Northwest Africa 7887 **"|"Official"|"2013"|"(Northwest Africa)"|"CV3"|"13 g"|" "
"Northwest Africa 7888 **"|"Official"|"2013"|"(Northwest Africa)"|"LL7"|"494 g"|" "
"Northwest Africa 7889 **"|"Official"|"2013"|"(Northwest Africa)"|"Eucrite"|"28 g"|" "
"Northwest Africa 7890 **"|"Official"|"2013"|"(Northwest Africa)"|"Martian (shergottite)"|"5.1 g"|" "
"Northwest Africa 7891 **"|"Official"|"2012"|"Morocco"|"CV3-an"|"168 g"|" "
"Northwest Africa 7892 **"|"Official"|"2012"|"Morocco"|"CO3.0"|"346 g"|" "
"Northwest Africa 7893 **"|"Official"|"2012"|"Errachidia, Morocco"|"R5"|"400 g"|" "
"Northwest Africa 7894 **"|"Official"|"2011"|"(Northwest Africa)"|"Diogenite"|"36.6 g"|" "
"Northwest Africa 7895"|"Official"|"2012"|"Morocco"|"L6"|"136 g"|" "
"Northwest Africa 7896 **"|"Official"|"2012"|"Morocco"|"Diogenite"|"106 g"|" "
"Northwest Africa 7897"|"Official"|"2012"|"Morocco"|"LL6"|"66.7 g"|" "
"Northwest Africa 7898 **"|"Official"|"2012"|"Morocco"|"CK5"|"180 g"|" "
"Northwest Africa 7899 **"|"Official"|"2011"|"Morocco"|"L6"|"420 g"|" "
"Northwest Africa 7900 **"|"Official"|"2013"|"Morocco"|"LL6"|"899 g"|" "
"Northwest Africa 7901 **"|"Official"|"2013"|"Morocco"|"H6"|"1962 g"|" "
"Northwest Africa 7902 **"|"Official"|"2013"|"Morocco"|"L3.7"|"2.02 kg"|" "
"Northwest Africa 7903 **"|"Official"|"2013"|"Morocco"|"Eucrite-mmict"|"90 g"|" "
"Northwest Africa 7904 **"|"Official"|"2012"|"Morocco"|"Brachinite"|"6.33 kg"|" "
"Northwest Africa 7905 **"|"Official"|"2004"|"Morocco"|"L5"|"1014 g"|" "
"Northwest Africa 7906 **"|"Official"|"2013"|"(Northwest Africa)"|"Martian (polymict breccia)"|"47.7 g"|" "
"Northwest Africa 7907 **"|"Official"|"2013"|"(Northwest Africa)"|"Martian (polymict breccia)"|"29.9 g"|" "
"Northwest Africa 7908 **"|"Official"|"2004"|"(Northwest Africa)"|"Diogenite"|"157 g"|" "
"Northwest Africa 7909 **"|"Official"|"2004"|"(Northwest Africa)"|"Mesosiderite-C2"|"168 g"|" "
"Northwest Africa 7910 **"|"Official"|"2009"|"(Northwest Africa)"|"Mesosiderite-B2"|"499 g"|" "
"Northwest Africa 7911 **"|"Official"|"2002"|"(Northwest Africa)"|"L4"|"97.6 g"|" "
"Northwest Africa 7912 **"|"Official"|"2013"|"Morocco"|"Diogenite"|"56 g"|" "
"Northwest Africa 7913 **"|"Official"|"2013"|"Morocco"|"Eucrite-cm"|"95 g"|" "
"Northwest Africa 7914 **"|"Official"|"2013"|"Morocco"|"Eucrite-mmict"|"268 g"|" "
"Northwest Africa 7915 **"|"Official"|"2010"|"Morocco"|"LL5"|"415 g"|" "
"Northwest Africa 7916 **"|"Official"|"2010"|"(Northwest Africa)"|"CO3"|"897 g"|" "
"Northwest Africa 7917 **"|"Official"|"2012"|"Morocco"|"H3.4"|"150.1 g"|" "
"Northwest Africa 7918 **"|"Official"|"2012"|"Morocco"|"R3"|"102.2 g"|" "
"Northwest Africa 7919 **"|"Official"|"2012"|"Morocco"|"Diogenite"|"43.8 g"|" "
"Northwest Africa 7920 **"|"Official"|"2012"|"Morocco"|"Pallasite, PMG"|"4.51 kg"|" "
"Northwest Africa 7921 **"|"Official"|"2012"|"Morocco"|"CV3"|"704 g"|" "
"Northwest Africa 7922 **"|"Official"|"2012"|"Morocco"|"H6"|"105.3 g"|" "
"Northwest Africa 7923 **"|"Official"|"2012"|"Morocco"|"LL6"|"73.8 g"|" "
"Northwest Africa 7924 **"|"Official"|"2012"|"Morocco"|"H6"|"511 g"|" "
"Northwest Africa 7925 **"|"Official"|"2012"|"Morocco"|"H4"|"130.1 g"|" "
"Northwest Africa 7926 **"|"Official"|"2012"|"Morocco"|"LL6"|"500 g"|" "
"Northwest Africa 7927 **"|"Official"|"2012"|"Morocco"|"LL6"|"658 g"|" "
"Northwest Africa 7928 **"|"Official"|"2012"|"Morocco"|"L5"|"107 g"|" "
"Northwest Africa 7929"|"Official"|"2013"|"(Northwest Africa)"|"CV3"|"26 g"|" "
"Northwest Africa 7930"|"Official"|"2013"|"(Northwest Africa)"|"CV3"|"22 g"|" "
