"Name"|"Status"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Yamato 792708"|"Official"|"1979"|"Antarctica"|"H4"|"3.22 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792709"|"Official"|"1979"|"Antarctica"|"H4"|"3.61 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792710"|"Official"|"1979"|"Antarctica"|"H4"|"2.71 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792711"|"Official"|"1979"|"Antarctica"|"H4"|"2.61 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792712"|"Official"|"1979"|"Antarctica"|"H4"|"4.25 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792713"|"Official"|"1979"|"Antarctica"|"H4"|"1.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792714"|"Official"|"1979"|"Antarctica"|"H4"|"0.33 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792715"|"Official"|"1979"|"Antarctica"|"L6"|"29.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792716"|"Official"|"1979"|"Antarctica"|"H4"|"25.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792717"|"Official"|"1979"|"Antarctica"|"H4"|"26.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792718"|"Official"|"1979"|"Antarctica"|"H4"|"25.8 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792719"|"Official"|"1979"|"Antarctica"|"H4"|"12.1 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792720"|"Official"|"1979"|"Antarctica"|"L6"|"3.91 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792724"|"Official"|"1979"|"Antarctica"|"H6"|"1.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792727"|"Official"|"1979"|"Antarctica"|"L6"|"0.65 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792728"|"Official"|"1979"|"Antarctica"|"H4"|"13 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792729"|"Official"|"1979"|"Antarctica"|"H4"|"2.59 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792730"|"Official"|"1979"|"Antarctica"|"L6"|"7.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792731"|"Official"|"1979"|"Antarctica"|"L6"|"8.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792732"|"Official"|"1979"|"Antarctica"|"L6"|"6.8 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792733"|"Official"|"1979"|"Antarctica"|"L6"|"4.39 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792734"|"Official"|"1979"|"Antarctica"|"L6"|"2.91 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792735"|"Official"|"1979"|"Antarctica"|"H6"|"1.96 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792736"|"Official"|"1979"|"Antarctica"|"H4"|"3.9 kg"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792743"|"Official"|"1979"|"Antarctica"|"H4"|"17.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792744"|"Official"|"1979"|"Antarctica"|"H4"|"34.9 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792745"|"Official"|"1979"|"Antarctica"|"L5"|"13.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792746"|"Official"|"1979"|"Antarctica"|"L6"|"15 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792747"|"Official"|"1979"|"Antarctica"|"L6"|"7.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792748"|"Official"|"1979"|"Antarctica"|"H4"|"6.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792749"|"Official"|"1979"|"Antarctica"|"H4"|"0.33 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792750"|"Official"|"1979"|"Antarctica"|"H6"|"21.9 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792751"|"Official"|"1979"|"Antarctica"|"H4"|"64.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792752"|"Official"|"1979"|"Antarctica"|"H4"|"0.97 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792753"|"Official"|"1979"|"Antarctica"|"H5"|"43.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792754"|"Official"|"1979"|"Antarctica"|"H5"|"17.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792755"|"Official"|"1979"|"Antarctica"|"H5"|"8.1 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792756"|"Official"|"1979"|"Antarctica"|"H6"|"36.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792757"|"Official"|"1979"|"Antarctica"|"H6"|"6.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792758"|"Official"|"1979"|"Antarctica"|"L6"|"4.32 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792759"|"Official"|"1979"|"Antarctica"|"H4"|"2.11 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792760"|"Official"|"1979"|"Antarctica"|"H4"|"1.18 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792761"|"Official"|"1979"|"Antarctica"|"H6"|"1719 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792762"|"Official"|"1979"|"Antarctica"|"H5"|"117.9 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792764"|"Official"|"1979"|"Antarctica"|"H4"|"2.65 kg"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792765"|"Official"|"1979"|"Antarctica"|"H4"|"43.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792766"|"Official"|"1979"|"Antarctica"|"H6"|"20.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792767"|"Official"|"1979"|"Antarctica"|"H4"|"3.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792768"|"Official"|"1979"|"Antarctica"|"CM2"|" "|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792769"|"Official"|"1979"|"Antarctica"|"Eucrite-pmict"|"4.23 kg"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792770"|"Official"|"1979"|"Antarctica"|"H6"|"4.18 kg"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792771"|"Official"|"1979"|"Antarctica"|"H5"|"2.7 kg"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792772"|"Official"|"1979"|"Antarctica"|"LL4"|"1044 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792773"|"Official"|"1979"|"Antarctica"|"LL4"|"376 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792774"|"Official"|"1979"|"Antarctica"|"LL4"|"125.8 g"|" NIPR"|"(-71.500000, 35.666670)  "
