"Name"|"Status"|"Fall"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Allan Hills A78026"|"Official"|" "|"1977 or 1978"|"Antarctica"|"H4"|"7.8 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78027"|"Official"|" "|"1978"|"Antarctica"|"H5"|"29.2 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78028"|"Official"|" "|"1978"|"Antarctica"|"H5"|"4.4 g"|"7(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A78029"|"Official"|" "|"1978"|"Antarctica"|"H4"|"4.1 g"|"8(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A78030"|"Official"|" "|"1977 or 1978"|"Antarctica"|"H5"|"2.68 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78031"|"Official"|" "|"1978"|"Antarctica"|"H5"|"4.6 g"|"7(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A78032"|"Official"|" "|"1977 or 1978"|"Antarctica"|"H6"|"2.08 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78033"|"Official"|" "|"1978"|"Antarctica"|"H4"|"5 g"|"8(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A78034"|"Official"|" "|"1977 or 1978"|"Antarctica"|"H6"|"2.35 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78035"|"Official"|" "|"1978"|"Antarctica"|"H6"|"2.5 g"|"7(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A78036"|"Official"|" "|"1977 or 1978"|"Antarctica"|"H5"|"1.03 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78037"|"Official"|" "|"1978"|"Antarctica"|"L3.5"|"0.5 g"|"8(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A78038 **"|"Official"|" "|"1978"|"Antarctica"|"L3.4"|"363 g"|"3(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78039 **"|"Official"|" "|"1978"|"Antarctica"|"L6"|"299 g"|"3(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78040 **"|"Official"|" "|"1978"|"Antarctica"|"Eucrite-pmict"|"212 g"|"2(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78041"|"Official"|" "|"1978"|"Antarctica"|"L3.4"|"117.5 g"|"8(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78042 **"|"Official"|" "|"1978"|"Antarctica"|"L6"|"214 g"|"3(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78043 **"|"Official"|" "|"1978"|"Antarctica"|"L6"|"680 g"|"3(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
